LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
-8.19,118.76,10,4.5,1,1,2012
3.03,98.75,11,3,1,1,2012
-3.95,129.74,50,4,1,1,2012
-7.01,107.3,39,3.2,1,1,2012
-4.59,129.43,194,3.6,1,1,2012
-0.21,121.56,22,3.3,1,1,2012
24.41,121.63,30,4.3,1,1,2012
-0.51,121.94,23,2.5,1,1,2012
-8.89,117.5,10,2.8,1,1,2012
3.87,128.01,15,4.6,1,1,2012
12.04,143.91,56,4.8,1,1,2012
-0.11,123.1,36,3,1,1,2012
-3.76,119.08,10,1.9,1,1,2012
-8.49,130.59,33,4.2,1,1,2012
-7.94,111.65,10,2.6,1,1,2012
4.46,96.49,10,5.1,1,1,2012
4.5,96.27,10,4.1,1,1,2012
4.5,96.32,10,2.9,1,1,2012
4.45,96.15,10,2.8,1,1,2012
-1.98,100.07,10,3.2,1,1,2012
-5.11,154.77,89,4.9,1,1,2012
-8.02,119.46,276,3.7,1,1,2012
2.52,98.41,20,2.5,1,1,2012
4.5,96.29,10,3.6,1,1,2012
2.28,128.43,53,4.9,1,1,2012
4.52,96.27,10,2.7,1,1,2012
-2.69,129.55,10,3.6,1,2,2012
-0.12,124.04,91,3.6,1,2,2012
4.49,96.33,10,3.2,1,2,2012
4.52,96.28,10,3.5,1,2,2012
4.49,96.38,7,3.7,1,2,2012
4.5,96.36,9,3.8,1,2,2012
4.52,96.33,7,2.4,1,2,2012
4.53,96.31,7,3,1,2,2012
4.53,96.29,9,2.1,1,2,2012
4.46,96.22,8,3.2,1,2,2012
4.5,96.35,7,2.5,1,2,2012
4.48,96.12,15,2.7,1,2,2012
1.18,97.2,31,3,1,2,2012
-8.06,107.33,20,3.9,1,2,2012
4.53,96.27,10,2.7,1,2,2012
-8.87,111.45,28,2.9,1,2,2012
-2.45,121.44,11,4.2,1,2,2012
4.52,96.26,10,2.9,1,3,2012
-0.64,123.36,10,3.5,1,3,2012
-29.98,142.75,74,4.1,1,3,2012
-0.63,121.73,10,3.3,1,3,2012
-8.45,117.54,12,2.3,1,3,2012
2.45,95.93,32,3.1,1,3,2012
3.3,98.22,10,2.8,1,3,2012
-8.13,117.64,12,3.5,1,3,2012
-6.43,105.72,13,3.3,1,3,2012
-0.98,126.91,10,4.6,1,3,2012
-8.76,118.27,121,2.9,1,3,2012
-8.14,123.8,142,3.8,1,3,2012
4.47,96.37,18,3.3,1,3,2012
-0.18,124.09,32,3.9,1,3,2012
-9.81,112.97,18,3.4,1,3,2012
-3.53,128.55,114,3.9,1,3,2012
4.52,96.29,10,2.9,1,3,2012
-4.27,121.81,10,3,1,3,2012
12.73,143.84,51,5,1,3,2012
3.48,97.2,12,2,1,3,2012
4.48,96.26,10,2.6,1,3,2012
-9.67,116.55,54,2.7,1,3,2012
-3.22,129.49,10,2.7,1,3,2012
-6.23,103.2,10,3.7,1,3,2012
7.63,92.12,19,4.8,1,3,2012
-3.98,127.51,194,3.3,1,3,2012
3.32,96.1,10,2.4,1,3,2012
-8.02,107.34,16,3.2,1,3,2012
-8.13,115.67,12,3.7,1,3,2012
4.5,96.27,10,2.8,1,3,2012
-9.11,111.79,109,2.7,1,3,2012
4.52,96.22,10,2.7,1,3,2012
2.47,96.99,18,2.5,1,3,2012
-2.03,120.8,12,3.4,1,3,2012
27.21,144.07,10,4.7,1,4,2012
-3.52,99.6,23,3.5,1,4,2012
-11.06,118.92,10,4.9,1,4,2012
-14.75,167.42,234,4.8,1,4,2012
4.47,96.18,10,3,1,4,2012
-6.3,103.87,10,3.8,1,4,2012
23.81,122.97,154,4.3,1,4,2012
23.85,121.65,11,4.6,1,4,2012
4.53,96.24,10,3.7,1,4,2012
-7.52,128.75,154,5,1,4,2012
2.05,96.57,28,4.4,1,4,2012
-2.75,129.27,24,3.3,1,4,2012
-6.6,106.82,10,3.3,1,4,2012
1.2,98.91,92,3.2,1,4,2012
0.64,121.53,31,3.7,1,5,2012
-0.3,122.9,75,5,1,5,2012
-7.58,128.54,141,4.5,1,5,2012
-9.59,129.57,47,5,1,5,2012
-5.51,131.24,16,4.4,1,5,2012
2.84,97.37,10,2.7,1,5,2012
4.44,96.28,10,3,1,5,2012
4.53,96.32,10,4.1,1,5,2012
-3.73,101.66,35,3.4,1,5,2012
-20.88,-179.25,663,4.9,1,5,2012
-0.81,99,36,5.1,1,5,2012
-8.65,132.2,10,4.2,1,6,2012
4.45,96.22,10,3,1,6,2012
0.14,100.45,170,4.6,1,6,2012
-1.31,123.05,10,4.7,1,6,2012
-11.09,117.14,10,4.1,1,6,2012
-4.54,153.76,127,5.1,1,6,2012
2.16,96.24,10,3.6,1,6,2012
14.07,121.13,167,4.5,1,6,2012
