LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
-4.67,120.21,23,2.1,1,1,2016
-9.26,122.52,28,2.8,1,1,2016
-0.71,122.22,10,3.0,1,1,2016
0.71,122.42,55,3.9,1,1,2016
-1.5,120.09,10,3.6,1,1,2016
-28.71,-177.27,67,5.5,1,1,2016
-1.46,120.07,10,2.8,1,1,2016
-8.52,110.35,67,3.3,1,1,2016
-9,123.78,31,2.8,1,1,2016
-0.3,124.94,19,3.5,1,1,2016
-9.11,158.52,73,4.7,1,1,2016
-20.52,-179.19,653,5.0,1,1,2016
44.69,129.8,609,5.4,1,2,2016
36.57,70.99,194,5.2,1,2,2016
-1.94,101.14,11,3.1,1,2,2016
3.23,96.72,20,3.8,1,2,2016
0.15,97.21,62,3.6,1,2,2016
-6.09,130.44,156,4.4,1,2,2016
-17.91,-178.38,589,4.9,1,2,2016
-5.08,103.09,36,3.1,1,2,2016
-7.42,128.63,160,4.4,1,3,2016
-5.32,102.55,26,3.4,1,3,2016
0.3,122.25,141,2.7,1,3,2016
1.63,123.59,10,3.3,1,3,2016
-0.13,123.51,111,3.3,1,3,2016
6.47,126.27,71,4.7,1,3,2016
-8.75,111.16,10,2.9,1,3,2016
-0.16,123.15,71,3.1,1,3,2016
-1.19,120.87,12,3.1,1,3,2016
-0.14,123.18,134,4.5,1,3,2016
23.08,142.68,134,5.0,1,3,2016
-0.02,122.62,242,4.6,1,3,2016
-4.16,129.68,11,4.3,1,3,2016
24.7,93.55,22,6.7,1,3,2016
-8.93,111.31,13,3.1,1,4,2016
1.36,97.04,19,4.1,1,4,2016
1.34,97.23,26,3.7,1,4,2016
1.75,121.69,10,2.4,1,4,2016
-9.36,120.08,10,2.3,1,4,2016
-7.07,127.87,289,4.5,1,4,2016
-7.46,155.61,31,4.8,1,4,2016
0.23,96.97,18,4.1,1,4,2016
-4.56,120.2,22,1.6,1,4,2016
-7.94,108.01,10,2.5,1,4,2016
-7.18,107.82,13,2.3,1,4,2016
-6.86,106.44,17,2.6,1,4,2016
-4.49,144.04,78,4.8,1,4,2016
-9.1,113.02,10,3.3,1,4,2016
-2.58,119.17,10,2.9,1,4,2016
-8.39,124.91,10,2.4,1,4,2016
-0.17,122.66,10,2.6,1,4,2016
0.19,119.97,55,4.0,1,4,2016
19.51,120.38,10,4.7,1,4,2016
21.65,121.6,81,4.4,1,4,2016
-7.91,107.39,37,3.6,1,4,2016
0.24,97.11,10,4.2,1,4,2016
-0.57,127.16,36,3.7,1,4,2016
-6.5,103.64,28,4.3,1,4,2016
2.24,96.25,12,4.8,1,4,2016
-38.19,176.87,305,4.7,1,4,2016
-7.38,120.27,578,4.4,1,5,2016
18.39,145.68,251,4.9,1,5,2016
30.5,132.88,10,5.7,1,5,2016
-6.02,130.77,138,4.8,1,5,2016
0.62,122.3,77,3.3,1,5,2016
-3.64,139.76,15,3.0,1,5,2016
-0.61,122.31,10,2.8,1,5,2016
4.31,95.09,106,4.7,1,5,2016
-6.58,147.23,105,4.8,1,5,2016
10.43,126.67,32,4.5,1,5,2016
10.43,126.59,43,4.9,1,5,2016
-2.77,99.87,21,4.7,1,5,2016
21.97,143.73,212,5.5,1,5,2016
-9.08,110.17,10,3.3,1,6,2016
41.28,129.07,10,5.1,1,6,2016
1,121.13,10,2.9,1,6,2016
-4.73,153.77,117,4.8,1,6,2016
1.82,94.4,41,5.1,1,6,2016
-2.94,128.71,10,3.6,1,6,2016
-9.87,119.08,14,4.1,1,6,2016
-4.95,155.06,85,5.0,1,6,2016
0.67,122.36,48,4.2,1,6,2016
0.38,120.59,58,4.5,1,6,2016
-7.54,119.94,620,4.6,1,6,2016
-7.52,106.61,68,4.7,1,6,2016
-8.5,119.11,26,3.1,1,6,2016
-0.82,120.17,10,2.6,1,6,2016
-6.42,105.04,10,2.9,1,6,2016
-8.18,108.31,88,3.1,1,6,2016
3.98,89.71,48,4.2,1,6,2016
-7.59,127.78,77,4.1,1,6,2016
-3.43,104.12,10,3.0,1,6,2016
-3.41,104.11,10,4.1,1,6,2016
0.3,122.14,157,2.5,1,6,2016
-3.41,104.16,10,2.9,1,6,2016
-8.93,119.41,93,2.0,1,6,2016
-2.52,101.06,68,2.4,1,6,2016
-2.72,140.58,10,4.1,1,6,2016
-9.43,112.94,10,3.2,1,6,2016
-3.07,139.76,96,3.2,1,6,2016
-8.74,118.38,113,4.6,1,6,2016
-6.39,104.04,10,2.9,1,6,2016
-9.08,116.29,83,3.3,1,7,2016
0.32,121.88,148,2.7,1,7,2016
-30.82,-179,436,4.6,1,7,2016
51.55,-175.22,26,5.1,1,7,2016
-3.03,129.82,93,3.5,1,7,2016
3.06,128.13,124,4.7,1,7,2016
-4.54,139.04,30,3.5,1,7,2016
-21.32,-179.1,601,4.8,1,7,2016
-8.51,118.34,15,3.5,1,7,2016
-7.68,128.1,109,4.5,1,7,2016
-8.68,110.58,27,3.1,1,7,2016
-9.73,112.82,10,3.9,1,7,2016
-10.27,118.92,10,4.3,1,7,2016
20.31,145.92,97,4.9,1,7,2016
0.94,122.55,54,4.6,1,7,2016
-43.19,-73.2,487,5.0,1,7,2016
-8.28,110.24,116,4.0,1,7,2016
