LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
-1.88,120.3,24,3.3,1,1,2015
-1.99,120.41,17,3.4,1,1,2015
-11.76,162.64,67,4.9,1,1,2015
28.45,51.9,58,5.1,1,1,2015
55.56,164.06,10,5.1,1,1,2015
47.15,154.34,10,4.9,1,1,2015
-10.14,113.84,59,4.3,1,1,2015
-2.69,129.36,21,4.3,1,1,2015
-22.5,-175.6,30,4.9,1,1,2015
-9.32,113.33,29,4.2,1,1,2015
-2.17,120.77,10,4.1,1,1,2015
-2.21,120.87,12,4.5,1,1,2015
-2.14,120.67,10,3.5,1,1,2015
-2.22,120.87,17,4.8,1,1,2015
-0.1,123.48,117,4.2,1,1,2015
6.47,60.46,39,4.6,1,2,2015
2.47,128.65,20,4.9,1,2,2015
4.64,125.11,289,4.7,1,2,2015
1.2,97.17,25,4.6,1,2,2015
0.31,98.63,16,3.6,1,2,2015
1.26,123.33,10,4.8,1,2,2015
2.74,126.77,39,4.9,1,2,2015
-56.68,-149.88,16,5.0,1,2,2015
-0.14,122.89,119,4.8,1,2,2015
-2.14,120.69,10,3.7,1,3,2015
2.55,128.11,125,4.5,1,3,2015
2.89,127.22,10,4.1,1,3,2015
1.82,126.54,24,4.1,1,3,2015
-3.45,130.11,19,3.6,1,3,2015
-0.11,123.82,101,5.3,1,3,2015
2.52,94.42,10,4.1,1,3,2015
57.71,120.11,10,5.8,1,3,2015
37.38,71.78,130,5.1,1,3,2015
1.5,97.66,51,2.7,1,3,2015
3.8,125.6,40,4.5,1,3,2015
1.2,126.09,10,3.9,1,3,2015
39.53,141.96,108,5.0,1,3,2015
-17.34,168.77,10,5.1,1,3,2015
-4.61,134.17,50,4.5,1,4,2015
0.9,122.21,82,3.1,1,4,2015
-7.86,106.5,10,3.8,1,4,2015
29.33,130.39,124,5.0,1,4,2015
-0.09,125.69,10,4.0,1,4,2015
-56.86,-150.91,10,5.1,1,4,2015
0.74,125.42,16,4.2,1,4,2015
-4.65,101.9,51,4.6,1,4,2015
2.72,95.72,13,4.3,1,4,2015
1.81,125.97,24,3.7,1,4,2015
45.61,148.6,26,5.5,1,4,2015
-57.88,158.16,10,4.8,1,4,2015
-7.03,151.05,55,4.8,1,4,2015
3.61,124.37,17,4.1,1,5,2015
-1.16,128.13,35,3.3,1,5,2015
2.96,122.99,470,5.1,1,5,2015
-0.56,100.5,10,3.4,1,5,2015
-6.63,129.87,185,4.8,1,5,2015
-0.1,123.46,123,4.6,1,5,2015
-4.5,151.27,26,5.0,1,5,2015
24.66,121.97,63,4.7,1,5,2015
56.39,113.89,27,5.0,1,5,2015
-7.19,130.52,146,4.8,1,5,2015
30.33,141.83,10,5.0,1,5,2015
4.33,126.75,39,4.6,1,5,2015
-8.47,111.92,77,3.6,1,5,2015
0.56,121.64,62,2.3,1,5,2015
-2.02,139.86,11,4.6,1,5,2015
28.72,51.74,23,4.6,1,5,2015
6.66,126.71,71,4.7,1,5,2015
30.62,142.04,10,5.3,1,5,2015
30.51,142.51,10,4.9,1,5,2015
-43.17,171.12,32,5.5,1,5,2015
-3.22,131.14,10,4.1,1,5,2015
-3.39,131.16,27,4.6,1,5,2015
29.1,81.69,10,4.5,1,5,2015
-0.19,122.77,10,3.0,1,5,2015
-21.35,-179.12,572,4.8,1,5,2015
65.41,-17.72,10,5.0,1,5,2015
-8.88,110.39,53,3.4,1,5,2015
32.64,92.95,35,4.4,1,5,2015
-49.21,164.44,47,5.2,1,6,2015
-1.13,120.77,10,3.8,1,6,2015
3.05,124.38,339,4.8,1,6,2015
0.52,121.33,29,2.7,1,6,2015
-6.84,129.71,220,4.6,1,6,2015
-2.18,125.6,10,4.3,1,6,2015
-8.2,119.58,18,4.0,1,6,2015
-4.41,104.6,240,3.8,1,6,2015
-6.31,131.69,119,4.7,1,6,2015
-6.71,129.89,155,4.9,1,6,2015
1.65,99.4,138,3.5,1,6,2015
-3.4,152.86,217,4.6,1,6,2015
-10.62,120.4,17,3.9,1,6,2015
55.68,163.48,10,5.2,1,6,2015
-0.24,124.68,10,3.6,1,7,2015
-3.25,139.67,78,3.1,1,7,2015
36.55,70.77,229,4.2,1,7,2015
24.19,121.7,13,5.1,1,7,2015
-5.09,130.63,126,4.3,1,7,2015
2.01,96.66,23,3.2,1,7,2015
-8.23,159.42,118,4.8,1,7,2015
-6.12,146.78,71,4.8,1,7,2015
-6.31,146.81,93,5.0,1,7,2015
28.62,51.99,36,4.7,1,7,2015
-3.02,139.79,22,4.7,1,7,2015
-6.6,103.72,10,4.0,1,7,2015
-3.23,128.46,10,3.5,1,7,2015
-5.99,152.89,82,4.8,1,7,2015
-2.36,140.1,10,4.6,1,8,2015
-7.42,106.68,18,3.5,1,8,2015
-10.7,120.48,14,4.2,1,8,2015
-24.62,179.92,479,4.8,1,8,2015
-17.79,-178.52,597,4.8,1,8,2015
1.34,122.33,10,3.2,1,8,2015
-8.68,114.96,75,3.4,1,8,2015
-6.8,132.41,85,4.6,1,8,2015
-1.72,139.94,10,3.8,1,8,2015
-2.82,129.19,10,3.0,1,8,2015
-61.84,161.56,40,5.1,1,8,2015
-8.39,122.14,10,3.9,1,8,2015
-9.27,117.94,23,3.0,1,8,2015
43.66,145,56,5.5,1,8,2015
23.65,122.45,10,3.6,1,8,2015
-8.23,117.61,16,2.6,1,8,2015
-9.35,111.71,12,3.7,1,8,2015
-9.43,111.67,10,3.7,1,8,2015
-1.13,127.35,10,4.6,1,9,2015
-2.11,120.59,10,3.2,1,9,2015
-0.25,122.95,79,3.7,1,9,2015
5.48,95.69,179,4.0,1,9,2015
-2.6,100.91,28,2.8,1,9,2015
-3.07,99.95,10,4.2,1,9,2015
-9.1,107.84,10,3.8,1,9,2015
-2.6,129.66,17,4.1,1,9,2015
-1.39,126.22,22,4.4,1,9,2015
-7.6,106.69,11,3.9,1,9,2015
1.9,127.42,121,4.5,1,9,2015
2.62,96.05,19,5.3,1,9,2015
18.16,150.29,310,4.8,1,9,2015
-5.82,68.35,10,5.5,1,10,2015
-16.3,-173.1,33,5.2,1,10,2015
-10.07,161.26,11,5.0,1,10,2015
40.06,77.5,17,5.1,1,10,2015
11.03,91.27,248,4.5,1,10,2015
-8.22,108.06,30,3.9,1,10,2015
28.76,51.82,10,4.4,1,10,2015
-0.04,123.42,139,3.0,1,10,2015
-3.74,138.49,11,4.3,1,10,2015
-0.41,121.96,10,3.0,1,10,2015
-21.28,-68.51,122,5.4,1,10,2015
14.86,120.24,76,5.6,1,10,2015
-4.55,102.23,15,3.5,1,11,2015
-2.49,129.84,10,3.8,1,11,2015
-2.53,129.72,10,3.8,1,11,2015
-3.55,154.35,50,5.3,1,11,2015
-0.16,123.04,108,3.1,1,11,2015
11.6,126.16,54,4.8,1,11,2015
-0.47,123.2,20,3.8,1,11,2015
-8.45,147.65,106,4.2,1,11,2015
0.77,121.98,51,4.0,1,11,2015
77.31,9.42,211,4.8,1,11,2015
2.07,126.12,33,4.3,1,11,2015
-20.89,66.5,95,4.8,1,12,2015
1.95,96.88,10,3.8,1,12,2015
-0.81,100.08,58,4.0,1,12,2015
-6.42,147.21,74,4.8,1,12,2015
-3.41,141.39,10,4.2,1,12,2015
0.36,121.59,139,2.3,1,12,2015
0.56,121.38,31,3.5,1,12,2015
-2.58,128.81,32,3.7,1,12,2015
-7.87,107.29,25,3.5,1,12,2015
0.46,98.25,19,4.0,1,12,2015
-21.84,170.72,84,4.8,1,12,2015
2.23,123.2,422,4.1,1,12,2015
35.88,142.72,10,5.2,1,12,2015
-8.4,115.43,11,2.9,1,12,2015
0.27,125.23,10,3.4,1,12,2015
-3.02,128.07,11,3.5,1,12,2015
1.64,126.39,10,3.8,1,12,2015
-0.1,122.99,85,2.5,1,12,2015
-14.29,167.12,177,4.8,1,12,2015
4.27,124.42,351,4.8,1,12,2015
-5.62,133.8,10,5.9,1,12,2015
-4.38,102.12,22,4.6,1,12,2015
-2.82,122.33,35,3.5,1,13,2015
-5.41,146.14,89,5.0,1,13,2015
31,129.43,209,4.8,1,13,2015
5.83,126.21,103,4.8,1,13,2015
-5.21,151.08,125,4.6,1,13,2015
-6.46,146.51,60,4.5,1,13,2015
36.4,23.04,62,4.8,1,13,2015
-46.47,168.92,10,4.7,1,13,2015
36.67,70.45,115,4.1,1,13,2015
-10.31,123.6,10,3.7,1,13,2015
13.05,124.62,51,4.7,1,13,2015
48.01,158.6,10,5.2,1,13,2015
39.28,141.43,54,5.0,1,13,2015
-6.39,147.05,53,4.9,1,13,2015
-8.94,116.19,70,3.0,1,13,2015
-0.36,125.2,10,3.8,1,14,2015
-0.13,122.98,92,3.7,1,14,2015
-0.04,123.28,127,2.9,1,14,2015
29.33,103.26,50,5.3,1,14,2015
-21.57,-174.72,10,5.2,1,14,2015
0.01,126.67,10,3.4,1,14,2015
-3.94,119.49,10,2.6,1,14,2015
-9.5,112.87,30,4.6,1,14,2015
-9.08,124.07,21,3.2,1,14,2015
0.19,122.46,126,2.9,1,14,2015
-8.37,119.65,161,3.7,1,14,2015
-9.5,112.89,10,4.1,1,14,2015
-3.78,129.34,10,3.8,1,14,2015
-9.36,112.86,13,3.8,1,14,2015
1.06,120.28,10,2.9,1,14,2015
48.83,141.54,618,4.6,1,14,2015
-2.39,120.79,13,3.8,1,14,2015
1.11,96.96,27,4.5,1,14,2015
0.15,119.98,62,5.0,1,15,2015
22.71,92.55,10,4.4,1,15,2015
1.01,122.1,10,3.1,1,15,2015
-3.77,126.16,30,4.6,1,15,2015
-7.19,121.1,28,3.2,1,15,2015
-10.58,123.31,21,2.8,1,15,2015
-2.9,129.68,33,4.8,1,15,2015
-8.29,116.84,139,2.7,1,15,2015
-2.34,121.16,10,3.4,1,15,2015
-8.42,123.76,89,3.0,1,15,2015
-8.84,123.67,112,2.9,1,15,2015
-20.94,-178.82,543,4.6,1,15,2015
-6.68,147.91,57,4.5,1,15,2015
-21.44,171.08,158,4.6,1,15,2015
0.13,126,25,3.5,1,15,2015
-9.42,112.85,10,4.3,1,15,2015
4.17,97.15,10,3.0,1,15,2015
-4.92,102.67,86,5.4,1,15,2015
5.4,93.76,47,4.7,1,15,2015
-8.32,120.76,26,3.7,1,15,2015
-2.28,140.46,10,3.1,1,15,2015
3.9,126.96,38,4.0,1,15,2015
-1.19,127.08,10,4.2,1,15,2015
2.06,126.78,10,3.9,1,15,2015
-0.88,100.04,10,2.9,1,15,2015
-9.14,124.48,97,2.2,1,15,2015
-8.94,109.92,10,4.0,1,16,2015
-3.74,105.04,10,3.7,1,16,2015
24.08,126.42,10,4.5,1,16,2015
0.25,98.92,16,2.9,1,16,2015
-0.37,122.96,10,2.9,1,16,2015
-17.83,167.76,10,4.8,1,16,2015
-6.2,105.39,10,3.2,1,16,2015
