LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
26.32,99.86,28,5.2,1,1,2010
-0.47,133.73,23,4.4,1,1,2010
-0.01,125.78,62,4.4,1,1,2010
1.24,99.99,250,3.0,1,1,2010
-1.38,99.41,13,3.9,1,1,2010
4.82,127.17,48,4.9,1,1,2010
-9.5,118.64,99,3.8,1,1,2010
1.35,98.82,153,3.0,1,1,2010
0.07,127.29,126,4.0,1,1,2010
15.38,126,125,4.5,1,1,2010
4.97,123.78,433,4.3,1,1,2010
-3.19,99.93,10,3.7,1,1,2010
0.85,98.51,10,3.5,1,1,2010
0.75,98.43,20,3.9,1,1,2010
-8.15,119.06,10,3.8,1,1,2010
-0.04,123.09,100,2.4,1,1,2010
1.87,127.19,64,4.6,1,1,2010
1.89,127.39,97,4.1,1,1,2010
-0.74,99.75,10,2.5,1,1,2010
3.32,124.04,10,3.7,1,1,2010
3.51,126.81,10,4.5,1,1,2010
-6.63,130.21,148,5.0,1,1,2010
-2.27,100.38,10,4.8,1,1,2010
-4.14,129.94,120,3.6,1,2,2010
-20.38,-176.25,340,5.1,1,2,2010
-0.68,122.95,10,4.3,1,2,2010
38.58,71.89,17,6.0,1,2,2010
11.38,141.72,211,5.7,1,2,2010
0.26,126.06,10,4.1,1,2,2010
0.4,126.32,10,3.9,1,2,2010
-0.19,122.92,72,2.6,1,2,2010
-0.19,122.75,23,2.4,1,2,2010
-3.83,132.9,10,4.4,1,2,2010
-8.16,107.98,29,3.3,1,3,2010
-2.64,129.97,43,4.6,1,3,2010
-8.08,122.92,189,4.4,1,3,2010
0.84,126.2,21,4.8,1,3,2010
-5.36,145.79,10,5.9,1,3,2010
-8.39,108.9,32,3.8,1,3,2010
-24.07,120.39,17,4.9,1,3,2010
-7.12,125.21,513,4.6,1,3,2010
-1.71,139.16,10,5.3,1,3,2010
-1.49,139.11,15,4.3,1,3,2010
-2.37,140.53,178,3.9,1,3,2010
-13,166.13,69,5.2,1,3,2010
-0.82,99.87,54,3.9,1,3,2010
-1.82,139.04,10,4.7,1,3,2010
-2.04,100.8,46,4.2,1,3,2010
6.35,126.19,47,5.3,1,3,2010
-9.01,157.79,56,6.7,1,3,2010
-8.92,157.54,47,7.1,1,3,2010
-5.58,126.05,10,6.0,1,3,2010
-8.16,111.76,10,3.2,1,3,2010
-10.07,124.79,10,4.3,1,4,2010
-9.72,157.11,116,5.0,1,4,2010
-8.92,157.99,10,5.2,1,4,2010
0.5,122.38,24,3.4,1,4,2010
-9,157.99,40,5.5,1,4,2010
-0.27,122.66,10,4.7,1,4,2010
-21.04,-174.31,13,5.9,1,4,2010
-21.28,179.98,668,5.0,1,4,2010
-8.22,107.34,22,3.5,1,4,2010
0.95,100.01,187,3.5,1,4,2010
-8.35,157.15,30,6.2,1,4,2010
-2.81,129.86,23,3.6,1,4,2010
-2.73,119.63,10,2.5,1,4,2010
-11.21,118.66,69,4.4,1,4,2010
-8.29,117.23,29,4.5,1,4,2010
-1.43,120.03,10,3.2,1,4,2010
23.26,121.52,296,5.0,1,4,2010
0.39,96.94,52,4.8,1,4,2010
-7.32,120.55,527,5.1,1,4,2010
-9.56,124.52,10,4.3,1,4,2010
1.03,126.52,10,4.5,1,4,2010
0.28,98.92,28,4.0,1,4,2010
-1.28,124.55,524,4.9,1,4,2010
-58.88,-13.36,10,6.5,1,5,2010
-8.76,119.07,277,3.9,1,5,2010
-8.63,124.78,139,4.6,1,5,2010
-1.08,120.73,19,4.1,1,5,2010
-9.14,157.96,10,6.6,1,5,2010
-8.88,157.97,10,5.0,1,5,2010
-8.93,158.16,10,5.0,1,5,2010
-5.01,110.68,202,4.4,1,5,2010
-8.93,157.76,87,4.7,1,5,2010
-2.38,121.37,18,5.1,1,5,2010
-2.15,120.99,10,3.2,1,5,2010
-11.17,123.87,128,4.8,1,5,2010
-3.74,129.44,26,3.2,1,5,2010
2.4,127.26,11,4.2,1,5,2010
1.06,99.56,142,3.5,1,5,2010
-2.45,121.46,10,3.7,1,5,2010
-0.15,122.85,117,4.5,1,5,2010
-0.53,133.88,82,3.9,1,5,2010
0.8,122.24,153,3.3,1,6,2010
1.54,122.08,484,4.5,1,6,2010
0.35,123.64,96,4.2,1,6,2010
-9.66,107.77,30,4.4,1,6,2010
-8.71,113.17,75,3.3,1,6,2010
-51.71,164.98,10,4.9,1,6,2010
-43.11,151.66,10,4.6,1,6,2010
-0.2,124.27,82,4.0,1,6,2010
0.92,125.81,80,3.9,1,6,2010
0.91,126.09,18,4.3,1,6,2010
-3.23,127.41,10,4.5,1,6,2010
-4.48,151.67,216,5.7,1,6,2010
-4.91,100.64,15,4.6,1,6,2010
1.12,96.94,11,3.6,1,7,2010
-1.46,100.07,24,4.1,1,7,2010
-53.7,158.92,10,5.9,1,7,2010
-7.83,119.07,24,4.5,1,7,2010
1.27,126.64,125,3.4,1,7,2010
-7.94,120.46,23,3.9,1,7,2010
-0.39,100.24,10,2.6,1,7,2010
0.82,97.09,24,3.8,1,7,2010
-3.26,129.13,10,4.6,1,7,2010
-0.23,125.34,77,3.6,1,7,2010
4.4,95.16,15,4.2,1,7,2010
-0.99,99.2,13,2.9,1,7,2010
0.98,121.88,13,3.7,1,7,2010
-0.19,124.19,87,4.1,1,7,2010
-6.51,104.48,16,4.1,1,8,2010
-10.13,156.05,209,4.2,1,8,2010
5.05,127.82,10,4.8,1,8,2010
-0.57,119.94,10,5.0,1,8,2010
-2.76,129.92,85,4.8,1,8,2010
1.86,126.19,10,4.1,1,8,2010
-0.96,120.51,10,3.3,1,8,2010
5.04,126.68,94,5.7,1,8,2010
2.16,126.87,77,5.1,1,8,2010
-0.64,119.81,15,4.2,1,8,2010
-10.14,157.44,186,5.1,1,8,2010
0.27,125.53,10,4.1,1,8,2010
-3,127.73,54,4.2,1,9,2010
-7.77,147.42,10,4.5,1,9,2010
0.24,125.51,10,3.9,1,9,2010
0.37,123.5,20,3.0,1,9,2010
-9.09,157.96,72,6.1,1,9,2010
-4.27,102.19,69,3.7,1,9,2010
-9.07,157.82,119,5.5,1,9,2010
-0.04,122.88,100,2.8,1,9,2010
-7.84,118.43,10,4.3,1,9,2010
3.87,123.01,539,3.9,1,9,2010
2.49,126.88,10,4.0,1,9,2010
-1.26,99.42,10,4.4,1,9,2010
2.59,96.98,10,3.4,1,9,2010
-8.08,107.88,21,5.3,1,10,2010
3.65,126.77,10,4.8,1,10,2010
9.92,116.06,516,4.7,1,10,2010
-7.24,108.21,10,2.7,1,10,2010
-7.1,106.42,11,3.6,1,10,2010
-8.95,110.89,23,3.5,1,10,2010
-7.18,105.26,10,4.7,1,10,2010
-0.42,99.18,27,3.1,1,10,2010
-0.05,123.24,130,5.0,1,10,2010
-1.53,100.34,30,3.8,1,10,2010
-6.68,147.34,73,5.4,1,10,2010
-6.99,129.38,154,4.8,1,10,2010
-7.55,128.24,148,4.3,1,10,2010
-14.18,169.09,10,5.4,1,10,2010
-17.69,-176.17,397,5.1,1,10,2010
-4.64,133.54,69,4.7,1,11,2010
-8.09,107.85,13,2.8,1,11,2010
-0.62,133.47,62,4.2,1,11,2010
-0.15,124.02,118,3.7,1,11,2010
1.24,121.88,13,4.0,1,11,2010
-2.04,120.83,63,3.3,1,11,2010
-2.34,138.96,15,4.9,1,11,2010
-0.12,123.46,121,3.5,1,11,2010
-8.83,112.51,48,4.9,1,11,2010
1.98,97.41,13,2.6,1,11,2010
0.34,122.08,161,3.0,1,11,2010
-2.52,121.15,10,3.7,1,11,2010
-2.15,138.91,14,4.5,1,11,2010
-5.22,103.09,29,4.6,1,11,2010
0.33,132.63,10,3.8,1,11,2010
-2.84,139.06,12,4.6,1,11,2010
2.51,97.29,10,2.8,1,11,2010
57.43,117.88,10,5.3,1,12,2010
-0.25,100.16,10,3.5,1,12,2010
-8.75,116.35,155,3.4,1,12,2010
11.72,119.53,244,4.9,1,12,2010
-5.34,133.82,27,5.4,1,12,2010
0.72,122.91,10,3.5,1,12,2010
1.32,123.22,10,4.0,1,12,2010
1.32,123.28,11,4.4,1,12,2010
4.49,96.28,19,3.8,1,12,2010
-2.7,138.61,11,3.4,1,12,2010
1.19,96.88,22,3.4,1,12,2010
-6.35,103.23,20,4.9,1,12,2010
-3.04,138.58,10,3.6,1,12,2010
-2.42,119.14,11,2.3,1,12,2010
-9.17,122.98,11,3.7,1,12,2010
-3.3,139.75,13,4.0,1,12,2010
17.52,-71.51,32,7.1,1,12,2010
-0.23,123.98,90,4.8,1,12,2010
-1.59,98.92,15,4.8,1,12,2010
1.84,99.09,10,3.8,1,13,2010
4,126.8,10,5.1,1,13,2010
0.55,123.96,248,4.7,1,13,2010
-9.83,119.05,17,4.2,1,13,2010
-7.87,117.1,282,4.4,1,13,2010
6.32,124.27,10,5.3,1,13,2010
-3.29,129.13,10,3.1,1,13,2010
-1.11,127.35,10,3.7,1,13,2010
-0.72,133.38,48,6.0,1,13,2010
-0.82,133.25,10,3.5,1,13,2010
-8.86,111.12,10,3.2,1,13,2010
1.16,126.42,23,3.4,1,13,2010
-0.44,124.29,19,4.3,1,13,2010
-9.34,113.3,20,4.0,1,14,2010
-0.62,133.23,10,3.2,1,14,2010
11.19,142.24,15,5.9,1,14,2010
-3.16,140.28,66,4.3,1,14,2010
-4.68,134.32,10,4.4,1,14,2010
-12.07,165.86,79,5.2,1,14,2010
-8.99,108.11,68,4.2,1,14,2010
-9.61,119.83,10,3.5,1,14,2010
11.25,126.32,162,4.6,1,14,2010
41.7,142.39,209,5.1,1,14,2010
-9.23,112.91,17,3.0,1,14,2010
7.18,125.95,56,5.3,1,15,2010
2.33,126.16,20,5.3,1,15,2010
-0.29,97,64,3.7,1,15,2010
-2.71,138.75,10,3.7,1,15,2010
-7.85,118.52,18,4.2,1,15,2010
-7.97,107.39,32,2.9,1,15,2010
27.07,126.61,76,5.4,1,15,2010
-2.89,127.69,11,4.5,1,15,2010
43.48,147.28,10,5.6,1,15,2010
-7.89,113.16,85,3.9,1,15,2010
-7.03,107.2,117,3.3,1,15,2010
-8.12,107.22,24,3.7,1,15,2010
2.66,95.78,12,4.3,1,16,2010
14.41,93.24,136,4.7,1,16,2010
-2.41,100.52,13,3.8,1,16,2010
-0.04,122.88,141,3.6,1,16,2010
-7.84,106.48,43,3.6,1,16,2010
-1.42,99.26,30,4.9,1,16,2010
4.81,95.34,72,3.6,1,16,2010
13.71,120.75,124,4.9,1,16,2010
-0.47,134,11,4.6,1,16,2010
-1.54,139.16,10,4.1,1,16,2010
-7.02,156.17,97,5.0,1,16,2010
-1.43,126.51,35,4.2,1,16,2010
0.54,122.35,56,2.9,1,16,2010
-6.05,130.62,107,4.8,1,17,2010
38.59,143.95,10,5.7,1,17,2010
-6.07,152.85,33,5.5,1,17,2010
-2.52,101.9,142,4.7,1,17,2010
-58.63,-65.81,20,5.9,1,17,2010
0.86,131.67,610,4.7,1,17,2010
2.84,98.81,13,2.4,1,17,2010
3.3,98.41,11,2.5,1,17,2010
-0.73,122.55,28,3.0,1,17,2010
-4.39,92.74,10,4.9,1,17,2010
4.44,94.85,110,4.0,1,17,2010
0.92,126.1,10,3.7,1,17,2010
2.89,126.28,161,4.2,1,17,2010
8.43,109.26,395,5.1,1,17,2010
-2.16,121.15,19,3.5,1,18,2010
-30.08,151.51,211,3.7,1,18,2010
-7.89,114.02,13,2.6,1,18,2010
43.07,147.43,129,5.3,1,18,2010
-8.81,114.89,89,3.8,1,18,2010
-6.36,114.36,517,4.9,1,18,2010
3.32,98.38,10,3.7,1,18,2010
-0.13,123.63,101,3.8,1,18,2010
-9.21,112.72,57,4.1,1,18,2010
-9.68,114.02,10,4.4,1,18,2010
-8.1,107.27,25,3.0,1,18,2010
-6.24,130.69,120,5.3,1,18,2010
-8.25,107.33,10,3.8,1,18,2010
3.81,110.15,37,5.0,1,18,2010
-3.32,122.21,583,4.1,1,18,2010
-8.13,118.63,15,4.6,1,18,2010
7.06,112.25,74,4.7,1,18,2010
0.57,99.6,10,3.3,1,18,2010
-4.74,129.86,11,3.5,1,18,2010
-5.11,102.53,40,3.4,1,18,2010
-10.03,157.01,187,4.7,1,18,2010
-2.27,121.01,59,4.9,1,18,2010
-9.03,158.19,68,5.6,1,19,2010
-1.59,139.1,10,4.7,1,19,2010
1.3,97.28,28,4.3,1,19,2010
-3.75,123.39,84,4.2,1,19,2010
23.69,121.54,10,5.5,1,19,2010
-7.74,107.29,14,4.2,1,19,2010
0.68,126.84,11,3.2,1,19,2010
-8.04,107.39,11,3.4,1,19,2010
1.09,126.67,10,4.0,1,19,2010
-2.42,134.3,18,3.7,1,19,2010
-1.08,133.33,10,3.0,1,19,2010
-8.36,107.29,17,3.9,1,19,2010
5.35,113.57,10,5.2,1,19,2010
-4.59,133.61,36,4.4,1,19,2010
-0.42,126.34,197,3.3,1,19,2010
-3.28,139.92,29,3.3,1,20,2010
1.29,121.83,204,2.9,1,20,2010
-8.69,113.82,59,2.5,1,20,2010
-5.43,105.18,24,3.6,1,20,2010
-1.06,127.1,10,4.8,1,20,2010
-1.38,99.37,10,4.3,1,20,2010
-5.29,131.42,69,4.4,1,20,2010
-10.21,108.64,20,4.8,1,20,2010
-1.09,127.1,10,4.5,1,20,2010
-0.42,132.68,10,3.4,1,20,2010
-0.76,99.86,43,2.9,1,20,2010
0.27,122.03,165,3.5,1,20,2010
3.33,98.38,10,2.0,1,20,2010
0.22,122.18,166,3.8,1,20,2010
-1.04,134.42,15,4.2,1,20,2010
-6.33,105.4,162,3.1,1,20,2010
-1.39,99.4,10,3.7,1,20,2010
0.5,125.99,10,3.6,1,20,2010
-8.92,111.43,10,3.7,1,20,2010
-0.06,122.16,10,2.6,1,21,2010
13.94,125.62,63,5.2,1,21,2010
1,122.47,30,4.5,1,21,2010
1.63,122.13,33,4.8,1,21,2010
1.61,122.23,10,3.5,1,21,2010
-7.96,107.3,24,3.5,1,21,2010
0.26,123.67,115,3.3,1,21,2010
4.41,96.74,10,3.2,1,21,2010
4.53,96.67,27,3.3,1,21,2010
-6.87,102.88,10,3.8,1,21,2010
13.76,126.04,10,4.7,1,21,2010
1.47,122.28,10,4.8,1,21,2010
3.97,95.68,21,4.2,1,21,2010
3.8,126.65,10,4.8,1,21,2010
-9.64,114.14,10,3.2,1,21,2010
-1.18,99.47,10,3.5,1,21,2010
-2.85,140.16,10,3.7,1,21,2010
-2.5,140.5,10,4.4,1,21,2010
1.43,122.27,10,3.2,1,21,2010
-8.05,106.98,20,3.6,1,22,2010
-5.71,146.83,61,5.0,1,22,2010
-2.94,129.09,10,3.6,1,22,2010
-4.3,120,11,2.0,1,22,2010
3.12,94.28,10,5.2,1,22,2010
-9.3,117.5,75,4.1,1,22,2010
-2.62,138.52,10,3.9,1,22,2010
-1.51,139.17,10,4.3,1,22,2010
-2.63,138.66,10,3.3,1,22,2010
0.19,99.31,77,3.5,1,22,2010
-0.89,99.68,19,2.9,1,22,2010
-2.8,119.45,10,2.6,1,22,2010
2.83,94.16,80,4.2,1,22,2010
2.22,128,231,3.9,1,22,2010
1.83,126.55,11,4.1,1,22,2010
-9.57,113.98,10,3.1,1,22,2010
-8.26,129.53,116,4.5,1,22,2010
-5.82,131.27,73,4.8,1,22,2010
-7.14,105.55,13,3.6,1,22,2010
-8.45,108.12,14,4.5,1,22,2010
-2.81,130.07,11,3.3,1,22,2010
4.41,96.38,54,2.7,1,22,2010
-2.82,129.55,15,2.8,1,22,2010
-0.22,121.62,94,2.5,1,22,2010
-7.72,128.26,117,4.6,1,22,2010
-2.89,119.5,10,3.5,1,23,2010
-11.49,166.8,98,5.0,1,23,2010
-9.67,114.18,11,3.1,1,23,2010
-4.12,143.48,10,5.1,1,23,2010
-7.89,107.37,49,3.2,1,23,2010
3.55,125.46,35,4.3,1,23,2010
-1.53,98.94,10,4.5,1,23,2010
0.07,122.74,10,2.7,1,23,2010
0.13,122.6,10,2.7,1,23,2010
-7.9,107.29,27,4.0,1,23,2010
-2.7,119.88,10,3.3,1,23,2010
36.19,71.46,100,5.0,1,23,2010
-5.63,105,107,3.3,1,23,2010
2.27,96.76,17,4.3,1,23,2010
2.33,96.75,10,3.0,1,23,2010
-9.54,111.95,14,3.6,1,23,2010
-4.84,119.33,10,3.0,1,23,2010
-1.56,99.96,10,3.9,1,23,2010
-7.75,110.61,10,2.8,1,24,2010
35.15,110.26,101,4.8,1,24,2010
-8.09,107.87,18,4.7,1,24,2010
-7.78,107.94,10,2.5,1,24,2010
-6.01,103.1,28,3.1,1,24,2010
-1.21,121.05,390,3.8,1,24,2010
-8.42,129.21,74,5.3,1,24,2010
-8.04,107.9,23,2.9,1,24,2010
-9.07,158.04,10,5.5,1,24,2010
-9.29,157.69,87,5.4,1,24,2010
-7,105.61,20,4.2,1,24,2010
3.33,96.36,10,2.7,1,24,2010
-7.98,107.3,10,2.5,1,24,2010
-0.1,122.86,91,2.5,1,24,2010
0.23,122.02,163,2.3,1,24,2010
-18.62,167.5,164,5.3,1,24,2010
-13.64,168.79,10,5.7,1,24,2010
-13.86,167.16,303,5.1,1,24,2010
-0.06,126.61,10,3.4,1,24,2010
0.56,122.21,83,2.7,1,24,2010
-3.4,131.24,39,4.6,1,24,2010
0.42,126.57,22,3.7,1,24,2010
0.3,120.6,52,4.6,1,24,2010
-7.3,107.56,68,2.6,1,25,2010
2.43,96.99,10,2.8,1,25,2010
-2.65,129.27,10,3.7,1,25,2010
31.08,131.07,132,5.3,1,25,2010
3.72,127.15,10,4.6,1,25,2010
0.39,131.65,136,4.6,1,25,2010
-0.64,123.32,10,4.6,1,25,2010
-0.13,122.87,10,3.3,1,25,2010
0.94,97.48,71,2.8,1,25,2010
-7.24,107.74,10,2.4,1,25,2010
-4.54,102.48,50,4.9,1,25,2010
-8.99,124.14,65,4.2,1,25,2010
-9.61,113.9,10,2.7,1,25,2010
0.35,125.9,10,3.3,1,25,2010
4.42,123.35,520,4.4,1,25,2010
0.75,126.62,10,3.6,1,25,2010
-14.36,137.55,648,4.7,1,25,2010
-5.95,105.67,150,3.7,1,26,2010
-0.95,121.51,10,3.1,1,26,2010
-8.35,107.23,25,4.4,1,26,2010
-0.43,98.89,18,5.0,1,26,2010
-7.21,107.45,10,2.7,1,26,2010
-5.17,103.13,10,3.0,1,26,2010
-16.42,-176.67,367,5.0,1,26,2010
0.29,124.94,32,4.2,1,26,2010
-8.33,107.23,10,3.7,1,26,2010
-7.95,120.29,10,3.6,1,26,2010
-8.41,129.12,77,4.8,1,26,2010
-7.39,121.5,220,4.5,1,26,2010
-10.54,115.47,10,3.2,1,26,2010
1.1,129.44,333,4.0,1,26,2010
-8.1,105.83,33,2.9,1,26,2010
-7.08,105.49,20,4.0,1,26,2010
1.85,97.6,10,4.6,1,27,2010
1.95,123.39,10,4.2,1,27,2010
-6.18,155.16,231,5.1,1,27,2010
-7.09,151.23,537,5.0,1,27,2010
0.07,97.97,10,4.9,1,27,2010
-9.46,119.07,76,4.3,1,27,2010
-8.01,107.44,17,2.7,1,27,2010
-9.4,118.43,10,3.9,1,27,2010
0.33,122.05,155,4.3,1,27,2010
-2.84,119.77,10,3.5,1,27,2010
4.51,126.7,101,4.8,1,27,2010
-14.79,-12.89,10,5.7,1,27,2010
2.04,97.85,22,4.3,1,27,2010
-8.06,107.22,29,3.2,1,27,2010
-9.77,114.02,10,3.0,1,27,2010
13.55,125.51,81,5.9,1,27,2010
-7.26,125.09,529,5.5,1,27,2010
0.98,126.4,30,4.1,1,27,2010
-8.96,110.88,19,5.2,1,27,2010
-6.39,103.81,11,3.1,1,27,2010
-5.11,103.26,11,2.8,1,27,2010
-8.29,110.89,98,3.6,1,28,2010
-7.83,107.3,29,3.3,1,28,2010
-9.62,108.8,10,4.9,1,28,2010
0.03,124.96,22,3.8,1,28,2010
-8.25,116.12,142,2.6,1,28,2010
3.8,126.65,10,4.3,1,28,2010
10.72,125.31,10,5.1,1,28,2010
3.16,126.67,53,5.2,1,28,2010
-21.94,111.12,10,5.0,1,28,2010
1,126.05,21,3.6,1,28,2010
-8.52,109.97,10,2.9,1,28,2010
1.68,97.11,10,3.9,1,28,2010
4.72,96.8,15,4.9,1,28,2010
-4.62,123.78,10,4.0,1,28,2010
1.95,125.34,136,4.7,1,29,2010
-8.31,107.36,73,4.9,1,29,2010
4.73,96.71,11,2.7,1,29,2010
-8.99,114.52,10,3.0,1,29,2010
-9.36,114.67,31,2.7,1,29,2010
-18.93,169.82,113,5.4,1,29,2010
1.26,127.14,68,4.3,1,29,2010
-8.05,114.86,10,2.9,1,29,2010
-7.96,107.35,32,2.9,1,29,2010
2.92,124.17,168,4.2,1,29,2010
-4.63,133.42,10,3.4,1,29,2010
-0.49,135.46,10,3.9,1,29,2010
-0.51,123.07,56,3.5,1,29,2010
-7.38,108.13,42,2.7,1,29,2010
-9.32,114.04,10,2.7,1,29,2010
-8.1,107.65,28,2.5,1,29,2010
0.42,97.4,56,3.6,1,29,2010
-6.17,104.6,10,2.6,1,29,2010
-0.7,122.28,43,2.7,1,29,2010
-22.39,-174.05,10,5.8,1,31,2010
-0.19,122.81,10,2.6,1,31,2010
-21.05,-179.13,641,4.9,1,31,2010
-3.31,122.78,22,3.7,1,31,2010
1.15,126.56,10,4.4,1,31,2010
-2.93,100.84,26,5.1,1,31,2010
-2.88,100.77,10,4.6,1,31,2010
-9.36,119.19,60,4.0,1,31,2010
-0.48,100.74,148,3.5,1,31,2010
-8.77,111.6,52,3.1,1,31,2010
0.17,124.84,64,3.2,1,31,2010
-0.07,124.9,12,3.6,1,31,2010
-19.05,168.48,365,5.0,1,31,2010
2.18,127.39,10,3.8,1,31,2010
0.34,121.86,127,3.4,1,31,2010
1.58,122.1,10,3.5,1,31,2010
-6.86,107.75,26,2.8,1,31,2010
-9.05,119.66,120,2.8,1,31,2010
1.25,127.38,142,3.4,1,31,2010
-7.57,106.07,27,3.1,1,31,2010
4.73,96.62,10,2.4,1,31,2010
-8.19,113.69,10,3.7,2,1,2010
-7.08,103.95,30,3.7,2,1,2010
-2.7,134.46,10,3.6,2,1,2010
-7.85,103.2,30,4.3,2,1,2010
-0.84,123.33,10,3.4,2,1,2010
-7.84,105.94,83,3.5,2,1,2010
-4.66,103.11,10,3.0,2,1,2010
2.6,95.68,10,3.1,2,1,2010
13.77,120.78,199,4.8,2,1,2010
-8.91,118.65,10,2.9,2,1,2010
-1.97,128.28,64,3.7,2,1,2010
-7.51,117.36,84,3.7,2,1,2010
-8.11,108.47,76,3.4,2,1,2010
-9.92,118.49,30,3.4,2,1,2010
-8.67,120.37,30,3.2,2,1,2010
0,123.08,176,3.7,2,1,2010
-8.23,107.89,36,3.3,2,1,2010
0.49,122.21,65,3.1,2,1,2010
-8.99,121.2,10,3.3,2,1,2010
-9.97,120.77,80,3.1,2,1,2010
-2.83,138.56,30,3.4,2,1,2010
-6.13,154.57,77,6.1,2,1,2010
-9.12,119.72,59,3.5,2,1,2010
2.01,125.2,56,4.5,2,1,2010
-6.16,129.84,26,4.8,2,2,2010
0.96,118.7,337,4.0,2,2,2010
10.17,124.82,116,4.6,2,2,2010
-3.72,99.76,10,4.7,2,2,2010
-4.55,117.96,117,3.3,2,2,2010
-8.06,107.19,34,3.1,2,2,2010
-6.09,123.25,139,4.3,2,2,2010
-0.33,123,82,4.6,2,2,2010
-0.69,135.99,13,5.0,2,2,2010
-8.38,130.82,60,5.0,2,3,2010
0.69,126.18,10,4.1,2,3,2010
6.28,123.72,512,4.4,2,3,2010
-1.38,99.44,28,4.6,2,5,2010
-47.28,101.04,179,5.6,2,5,2010
-2.77,119.83,10,3.5,2,5,2010
-8.09,107.4,10,3.3,2,5,2010
-3.22,127.18,48,2.4,2,5,2010
-7.88,107.3,31,4.0,2,5,2010
-7.8,107.31,32,3.3,2,5,2010
2.05,96.78,10,3.0,2,5,2010
-7.18,107.55,33,2.2,2,5,2010
1.08,126.14,10,3.6,2,5,2010
-3.78,129.73,10,3.4,2,5,2010
-8.07,107.33,18,3.5,2,5,2010
-7.36,106.63,55,3.0,2,5,2010
-8.14,107.24,10,2.9,2,5,2010
1.71,127.25,59,4.5,2,5,2010
-3.83,129.59,15,3.1,2,5,2010
-1.89,119.61,69,3.0,2,5,2010
-9.31,113.17,16,3.3,2,5,2010
-7.78,119.24,12,4.0,2,6,2010
2.9,128.54,137,4.8,2,6,2010
-8.64,111.06,27,3.1,2,6,2010
-8.13,107.28,16,4.4,2,6,2010
46.55,152.65,10,5.8,2,6,2010
-8.21,147.62,105,5.5,2,6,2010
-7.15,107.31,114,2.9,2,6,2010
-1.03,119.7,10,4.0,2,6,2010
1.13,126.66,19,4.0,2,6,2010
-8.2,107.27,17,3.3,2,6,2010
-8.81,111.2,76,3.2,2,6,2010
1.45,122.29,10,3.2,2,6,2010
0.49,98.51,17,3.0,2,6,2010
-7.89,123.05,10,3.7,2,6,2010
-4.63,133.51,19,4.3,2,6,2010
-6.07,130.8,157,4.2,2,6,2010
-7.33,128.55,163,4.4,2,6,2010
-16.6,-172.82,45,5.5,2,6,2010
-6.96,107.85,10,3.3,2,6,2010
-7.83,130.62,66,5.1,2,6,2010
-3.58,102.72,118,4.6,2,7,2010
24.09,123.8,10,6.4,2,7,2010
-7.53,106.81,89,3.8,2,7,2010
-5.55,147.41,191,5.0,2,7,2010
1.07,123.12,5,4.8,2,7,2010
-8.5,117.8,19,3.7,2,7,2010
0.81,127.88,10,3.4,2,7,2010
-0.49,123.55,144,3.2,2,7,2010
0.38,96.9,89,3.8,2,7,2010
0.33,123.99,133,4.6,2,7,2010
-0.02,123.29,127,4.8,2,7,2010
-22.89,-178.18,10,6.3,2,7,2010
-23.45,178.84,665,5.8,2,7,2010
-23.36,179.58,625,5.5,2,7,2010
-8.75,118.5,10,4.1,2,7,2010
-8.15,110.32,54,3.6,2,8,2010
-1.87,122.52,166,4.2,2,8,2010
-3.16,128.27,17,2.6,2,8,2010
43.5,86.09,10,5.5,2,8,2010
-8.03,107.32,29,3.5,2,8,2010
-9.77,112.91,18,3.5,2,8,2010
-5.11,130.76,186,4.8,2,8,2010
-4.85,104.02,10,2.3,2,8,2010
1.58,123.03,10,4.7,2,8,2010
-9.15,120.93,10,3.1,2,8,2010
1.69,123.06,10,4.5,2,8,2010
1.34,123.05,12,3.3,2,8,2010
1.63,124.98,184,4.3,2,8,2010
-8.11,122.86,226,4.6,2,8,2010
-8.89,110.89,20,2.3,2,8,2010
-0.6,123.88,42,5.1,2,9,2010
2.29,123.04,10,4.6,2,9,2010
-10.68,113.42,10,4.0,2,9,2010
10.29,122.03,221,4.8,2,9,2010
-4.78,121.52,644,4.0,2,9,2010
-2.86,139.99,33,3.4,2,9,2010
21.12,121.3,45,5.4,2,9,2010
-1.9,138.87,89,3.5,2,9,2010
-0.05,122.85,98,3.4,2,9,2010
-8.03,123.37,10,4.5,2,9,2010
-0.01,126.67,10,4.7,2,9,2010
-1.04,94.46,367,5.0,2,9,2010
-6.23,105.28,10,3.2,2,9,2010
-8.86,110.24,33,3.7,2,9,2010
-8.6,110.59,10,2.9,2,10,2010
1.52,96.97,24,4.9,2,10,2010
1.61,123.31,10,4.7,2,10,2010
-7.76,116.04,10,2.8,2,10,2010
-1.26,134.05,60,3.2,2,10,2010
