LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
2.79,127.6,76,5,1,1,2017
-2.44,139.64,74,4,1,1,2017
-8.96,110,10,4,1,1,2017
-11.45,116.73,10,4.1,1,1,2017
-7.27,120.37,533,4.2,1,1,2017
34.95,27.66,10,4.8,1,1,2017
-6.02,103.78,10,4.1,1,1,2017
3.73,128.65,66,5.1,1,1,2017
3.74,128.52,32,5.5,1,1,2017
3.94,128.82,10,4.8,1,1,2017
3.73,128.71,10,4.4,1,1,2017
0.54,122.39,63,1.8,1,1,2017
-9.48,114.26,10,3.5,1,1,2017
-6.1,103.74,15,3,1,1,2017
-9.48,117.57,21,2.9,1,1,2017
-1.2,120.25,14,2.7,1,1,2017
-7.69,115.48,293,3.7,1,1,2017
3.01,128.57,155,4.4,1,1,2017
1.4,99.33,10,3.5,1,1,2017
3.83,94.56,35,4.7,1,1,2017
-0.17,100.31,10,2.9,1,2,2017
-10.7,162.02,65,4.8,1,2,2017
-6.73,130.63,87,4.9,1,2,2017
-2.77,129.97,12,3.8,1,2,2017
-6.11,105.4,10,3.1,1,2,2017
-23.21,179.24,546,5.7,1,2,2017
-20.26,170.23,115,4.7,1,2,2017
-23.23,179.27,576,6,1,2,2017
1.87,98.93,108,4.2,1,2,2017
1.67,127.01,16,3.7,1,2,2017
-2.27,120.54,10,3.4,1,2,2017
4.69,127.58,30,4.5,1,2,2017
2.32,126.8,13,4,1,2,2017
-7.97,123.2,233,4.7,1,2,2017
-8.95,108.72,57,5.3,1,2,2017
41.34,142.62,56,5.1,1,2,2017
3.67,128.66,10,4.5,1,2,2017
-7.94,115.32,13,3.4,1,2,2017
-0.08,123.19,127,4.4,1,2,2017
-8.22,106.84,57,4.8,1,3,2017
-8.26,106.87,46,4,1,3,2017
-3.55,139.41,87,4.7,1,3,2017
-3.22,139.24,105,4.6,1,3,2017
3.62,128.89,18,4.7,1,3,2017
24,91.99,10,5.5,1,3,2017
3.83,128.75,10,4.6,1,3,2017
1.55,126.97,123,4.2,1,3,2017
-0.98,126.78,72,3.6,1,3,2017
-8.17,148.1,61,4.8,1,3,2017
-0.22,122.76,10,3.4,1,3,2017
0.23,122.33,138,2.4,1,3,2017
-8.17,106.88,14,4.5,1,3,2017
3.03,128.1,122,4.2,1,3,2017
-30.61,118.49,10,4.5,1,3,2017
-7.8,128.24,164,4.7,1,3,2017
23.22,94.39,74,5.1,1,3,2017
-23.15,179.34,566,4.7,1,3,2017
-19.35,176.09,47,7,1,3,2017
-7.4,107.04,12,3.2,1,3,2017
-19.24,175.94,66,5.6,1,3,2017
-19.23,176,94,5,1,3,2017
-18.99,176.4,51,5,1,3,2017
-19.05,175.86,96,5.3,1,4,2017
5.23,96.24,10,3.6,1,4,2017
-17.78,166.98,56,5.4,1,4,2017
-11.73,113.26,34,4.9,1,4,2017
-6.04,153.45,66,4.8,1,4,2017
-19.29,176.88,10,5.4,1,4,2017
-19.13,175.43,184,4.9,1,4,2017
-19.33,175.93,68,5.1,1,4,2017
-0.88,131.15,10,2.9,1,4,2017
-19.36,175.87,91,4.9,1,4,2017
-0.65,127.86,10,3.8,1,4,2017
-8.18,108.28,31,4.3,1,4,2017
0.88,126.46,13,4.1,1,4,2017
-6.46,130.09,143,5.2,1,4,2017
-8.73,110.61,35,3.3,1,4,2017
-0.56,120.97,10,2.9,1,4,2017
-19.3,175.97,46,5,1,4,2017
-18.03,-179.21,630,4.7,1,4,2017
36.88,140.72,61,5.5,1,4,2017
-10.38,161.81,40,4.7,1,4,2017
-0.16,122.78,18,3,1,4,2017
37.11,141.22,19,5.8,1,4,2017
1.66,125.22,21,3.7,1,4,2017
0.4,122.29,43,2.5,1,4,2017
-18.88,175.51,133,5,1,4,2017
-10.44,161.59,46,5.2,1,4,2017
-6,104.27,28,3.3,1,4,2017
-14.63,167.49,142,4.6,1,5,2017
-9,125.65,10,4,1,5,2017
-9.11,125.59,10,3.5,1,5,2017
3.08,127.88,104,4.7,1,5,2017
2.52,95.91,28,3.7,1,5,2017
3.82,128.64,49,4.6,1,5,2017
3.55,122.68,557,4.6,1,5,2017
1.69,99.27,10,3.8,1,5,2017
-41.83,173.81,198,4.8,1,5,2017
-5.09,102.23,10,3.9,1,5,2017
-6.75,121.51,134,3.4,1,5,2017
-10.7,119.25,53,4.7,1,5,2017
7.17,94.74,215,4.5,1,5,2017
-8.5,108.89,11,3.9,1,5,2017
-7.31,106.7,67,3.5,1,6,2017
-5.65,152.9,44,4.5,1,6,2017
28.11,53.19,10,5.4,1,6,2017
-0.49,121.88,13,2.6,1,6,2017
-5.4,131.29,131,4,1,6,2017
-2.87,101.44,76,4.9,1,6,2017
-22.05,-67.38,10,5.4,1,6,2017
-7.7,107.29,36,2.7,1,6,2017
-8.71,111.89,30,3.4,1,6,2017
1.39,98.1,61,5.1,1,6,2017
3.72,128.54,10,4.6,1,6,2017
1.42,98.02,49,4.7,1,6,2017
-0.08,123.59,118,4.3,1,6,2017
-8.87,113.95,18,2.7,1,6,2017
-19.23,-175.69,196,4.8,1,6,2017
-1.1,126.93,10,4.1,1,6,2017
-37.43,178.25,74,5,1,6,2017
0.46,123.68,232,3.8,1,6,2017
-7.01,113.6,14,3.4,1,6,2017
-2.54,139.51,10,4.2,1,6,2017
5.69,126.62,66,5,1,7,2017
-6.49,103.89,43,4.7,1,7,2017
3.75,96.58,55,3.3,1,7,2017
-0.2,122.88,26,3,1,7,2017
-9.54,120.12,82,5.7,1,7,2017
-6.24,128.71,290,4.6,1,7,2017
1.9,127.07,21,4.6,1,7,2017
-8.23,117.87,55,3.3,1,7,2017
-3.13,128.82,40,2.7,1,7,2017
0.96,121.63,36,2.7,1,7,2017
-4.39,151.74,44,4.6,1,7,2017
-8.13,115.89,261,3.9,1,7,2017
-2.66,129.5,15,3.6,1,7,2017
-2.69,129.55,10,3.6,1,7,2017
1.38,97,28,3.7,1,8,2017
-6.32,147.58,76,6.1,1,8,2017
-7.58,128.51,199,5,1,8,2017
0.31,121.85,183,2.2,1,8,2017
-8.39,115,136,3.1,1,8,2017
21.53,145.66,28,5,1,8,2017
0.62,122.09,75,3.8,1,8,2017
-6.32,147.7,85,4.7,1,8,2017
-17.59,-178.45,573,4.9,1,8,2017
0.54,122.38,75,2,1,8,2017
73.82,-92.72,10,5.8,1,8,2017
-21.94,-179.4,596,5.1,1,9,2017
-60.58,160.32,10,5.2,1,9,2017
-7.64,128.44,139,4.7,1,9,2017
-15.3,-176.16,15,5.6,1,9,2017
-4.14,129.36,10,3.6,1,9,2017
-2.7,129.55,26,3,1,9,2017
-8.83,110.73,27,3,1,9,2017
37.01,68.46,44,4.9,1,9,2017
18.1,120.42,89,4.9,1,9,2017
-1.72,100.28,69,5.3,1,9,2017
-0.78,131.48,50,3.3,1,9,2017
2.56,127.23,68,5.2,1,9,2017
3.91,128.58,16,4.8,1,9,2017
-3.38,128.21,18,2.2,1,9,2017
73.33,-94.11,10,5.4,1,9,2017
-8.27,108.54,77,3,1,9,2017
-10.63,162.03,42,4.9,1,9,2017
53.25,-169.68,116,5.2,1,9,2017
-48.68,126.27,10,5.1,1,10,2017
-6.77,105.17,19,3.4,1,10,2017
-10.62,123.8,10,3.6,1,10,2017
4.39,122.58,629,7.2,1,10,2017
3.75,123.2,630,5.3,1,10,2017
-6.78,130.18,198,4.3,1,10,2017
14.76,144.47,10,5,1,10,2017
-10.08,161.1,39,6.2,1,10,2017
27.53,140.11,457,4.7,1,10,2017
-0.59,131.22,10,2.2,1,10,2017
-8.1,117.6,19,4.7,1,10,2017
-8.06,117.62,15,3.8,1,10,2017
0.97,120.25,34,3.1,1,10,2017
-6.14,125.6,543,4.4,1,10,2017
-18.64,-178.03,640,4.7,1,11,2017
0.2,122.1,140,1.9,1,11,2017
0.29,124.15,26,3.6,1,11,2017
-6.19,154.41,57,5.3,1,11,2017
0.79,121.63,69,2.9,1,11,2017
13.42,124.55,86,4.8,1,11,2017
-8.27,120.92,172,3.9,1,11,2017
0.51,122.35,84,1.8,1,11,2017
1.91,127.17,109,3.6,1,11,2017
1.09,125.37,49,4.3,1,11,2017
-8.1,119.63,10,3.5,1,11,2017
-9.15,123.72,49,3.7,1,11,2017
12.25,141.07,88,4.8,1,11,2017
12.2,141.06,62,5.4,1,11,2017
-3.98,129.5,128,4.1,1,11,2017
12.2,141.01,86,4.7,1,11,2017
-8.06,119.41,269,4.3,1,11,2017
-5.83,148.96,150,5.2,1,11,2017
-20.59,-177.86,570,4.8,1,11,2017
3.54,128.68,45,4.7,1,11,2017
12.37,141.14,31,4.8,1,11,2017
-20.15,46.57,10,5.6,1,11,2017
-7.75,124.83,366,4.5,1,11,2017
3.69,128.67,10,4.4,1,12,2017
0.23,122.23,181,4.2,1,12,2017
-3.46,128.38,10,2.8,1,12,2017
-9.06,118.6,10,3.8,1,12,2017
-2.32,100.98,37,3.3,1,12,2017
-2.77,128.04,11,3.8,1,12,2017
-2.77,128.04,10,2.9,1,12,2017
-2.83,128.15,29,2.7,1,12,2017
-2.76,128.04,11,3.5,1,12,2017
-0.06,123.15,123,3,1,12,2017
-0.86,130.85,10,3.6,1,12,2017
0.56,98.34,41,4,1,12,2017
5.59,95.95,10,3.8,1,12,2017
-15.31,-177.75,373,4.5,1,12,2017
2.13,96.67,15,3.3,1,12,2017
0.54,123.02,74,3.2,1,12,2017
-5.42,102.69,49,5.1,1,12,2017
-1.9,128.47,10,4.8,1,12,2017
0.75,120.02,10,3.5,1,12,2017
0.57,122.31,80,2.6,1,12,2017
41.55,132.85,496,4.8,1,12,2017
5.33,94.68,102,5.2,1,12,2017
-7.72,106.94,27,4.8,1,12,2017
6.05,126.19,10,4.6,1,12,2017
-1.79,100.43,15,3.5,1,12,2017
-9.95,123.99,56,3.2,1,12,2017
-9.29,115.49,41,2.8,1,12,2017
0.6,121.24,33,3,1,13,2017
-6.69,68.56,22,5,1,13,2017
-10.75,161.93,36,4.6,1,13,2017
0.09,122.28,31,2.3,1,13,2017
5.23,96.22,10,3.2,1,13,2017
-7.94,107.05,30,3.7,1,13,2017
-7.79,117.15,19,3.2,1,13,2017
-6.21,147.48,60,4.7,1,13,2017
-1.86,128.45,12,3.9,1,13,2017
2.64,126.22,10,3.5,1,13,2017
0.71,100.46,266,4.7,1,13,2017
1.08,121.83,24,3.6,1,13,2017
-25.74,-177.54,475,4.6,1,13,2017
-3.31,126.95,10,4.6,1,13,2017
-7.99,110.37,10,4,1,13,2017
-3.58,128.72,86,4.1,1,13,2017
-0.07,125.13,61,5.5,1,13,2017
0.29,121.83,144,1.7,1,13,2017
0.63,122.22,68,1.6,1,13,2017
1.84,127.07,36,3.2,1,13,2017
-0.13,125.14,16,3,1,13,2017
-9.31,117.23,65,2.8,1,13,2017
2.91,126.89,51,4.3,1,13,2017
0.08,121.96,239,3.2,1,14,2017
0.37,122.14,127,2.5,1,14,2017
1.2,121.99,20,2.4,1,14,2017
-8.21,107.38,10,3.6,1,14,2017
-2.54,128.91,24,4.5,1,14,2017
-2.4,128.96,17,3.3,1,14,2017
4.14,122.34,700,4.2,1,14,2017
