LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
-11.65,117.61,10,4.2,1,1,2018
-0.33,123.73,112,5.1,1,1,2018
-1.4,120.47,10,2.4,1,1,2018
-9.42,117.9,24,2.4,1,1,2018
1.42,122.04,17,1.9,1,1,2018
-6.11,130.34,157,4.3,1,1,2018
-3.24,128.84,10,3.5,1,1,2018
-0.24,123.07,63,2.3,1,1,2018
2.31,97.06,59,2.9,1,1,2018
0.19,121.95,155,2.4,1,1,2018
-6.46,101.7,10,4.9,1,1,2018
-4.41,102.14,43,4.8,1,1,2018
-0.23,122.94,12,2.7,1,1,2018
0.59,122.34,61,1.7,1,1,2018
-0.72,131.12,17,2.5,1,1,2018
-0.28,125.35,10,4,1,1,2018
-3.51,119.1,22,2.5,1,1,2018
-6.9,106.83,10,3.3,1,1,2018
-9.48,118.11,22,3.1,1,1,2018
-7.66,119.28,19,3.5,1,1,2018
-9.82,124.25,10,3.1,1,1,2018
-7.96,116.84,288,4.5,1,1,2018
-8.49,121.3,181,4.5,1,1,2018
0.27,121.83,170,2.6,1,1,2018
1.01,132.52,10,3.3,1,1,2018
-8.3,123.53,10,2.9,1,1,2018
-0.2,125.41,10,3.3,1,1,2018
-0.01,122.55,158,2.4,1,1,2018
-9.62,115.48,17,3.1,1,2,2018
-7.31,128.29,196,4.1,1,2,2018
-38.78,46.48,10,5.2,1,2,2018
-8.29,119.99,172,3.9,1,2,2018
4.56,124.45,10,3.5,1,2,2018
-9.98,124.96,18,3,1,2,2018
41.49,23.26,10,4.9,1,2,2018
-18.59,-175.1,274,5.1,1,2,2018
-33.45,116.5,10,3,1,2,2018
0.29,122.48,12,2.8,1,2,2018
1.4,99.7,185,4.3,1,2,2018
-18.79,169.33,271,4.9,1,2,2018
-9.32,122.43,14,2.8,1,2,2018
3.72,126.58,12,3.7,1,2,2018
-6.52,129.86,172,4.2,1,2,2018
6.16,126.81,97,4.7,1,2,2018
6.44,126.97,97,4.9,1,2,2018
-8.74,118.35,92,2.9,1,2,2018
-8.68,118.36,106,3.3,1,2,2018
2.34,98.93,129,3.4,1,2,2018
-24.7,178.42,583,5.9,1,2,2018
-8.29,115.5,11,2.4,1,2,2018
-2.93,127.78,28,3.7,1,2,2018
-0.02,123.52,120,4.5,1,2,2018
