LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
3.73,127.34,67,4.6,1,1,2009
-6.84,130.22,103,5.2,1,1,2009
1.45,120.74,10,5.1,1,1,2009
1.52,122.01,10,4.5,1,1,2009
-8.44,116.17,91,3.4,1,1,2009
1.41,122,34,5.0,1,1,2009
9.37,124.14,529,4.7,1,1,2009
-7.17,108.44,10,3.3,1,1,2009
0.65,100.99,127,3.2,1,1,2009
-4.32,119.56,10,3.1,1,1,2009
-4.41,101.11,21,5.3,1,1,2009
-2,138.71,97,3.3,1,1,2009
-3.09,139.91,18,3.2,1,1,2009
-2.92,139.83,6,3.7,1,1,2009
-4.43,101.05,27,5.2,1,1,2009
-2.85,139.89,50,3.3,1,1,2009
-2.46,126.83,7,4.3,1,2,2009
-2.25,121.14,10,4.6,1,2,2009
32.54,138.15,326,5.2,1,2,2009
9.42,125.3,10,5.5,1,2,2009
-6.65,113.91,557,4.0,1,2,2009
-7.18,113.74,30,3.8,1,2,2009
-6.5,128.38,10,5.1,1,2,2009
0.94,121.66,58,3.6,1,2,2009
-7.74,106.96,21,3.3,1,2,2009
-2.09,121,10,3.3,1,2,2009
-0.05,123,151,3.5,1,2,2009
-7.02,124.4,632,4.8,1,2,2009
0.48,122.61,84,3.6,1,2,2009
-2.62,121.73,10,3.9,1,2,2009
3.45,97.35,84,2.9,1,2,2009
1.32,126.27,30,3.7,1,2,2009
-11.61,166.61,48,5.4,1,2,2009
0.84,123.17,29,2.8,1,2,2009
-0.63,122.23,17,3.8,1,3,2009
-2.74,119.74,10,2.9,1,3,2009
2.6,128.19,151,4.0,1,3,2009
-2.23,121.24,7,3.6,1,3,2009
-7.02,106.53,10,3.1,1,3,2009
-24.57,-174.9,10,5.3,1,3,2009
0.52,124.01,13,3.8,1,3,2009
-2.48,139.03,74,3.4,1,3,2009
2.8,125.29,21,4.1,1,3,2009
3.6,125.64,31,4.9,1,3,2009
1.32,121.75,10,4.6,1,3,2009
-1.95,128.58,14,3.8,1,3,2009
-7.73,128.53,163,5.4,1,3,2009
-12.48,166.7,130,5.5,1,3,2009
6.73,123.68,597,4.9,1,3,2009
-6.25,119.84,510,4.4,1,3,2009
-5.04,145.12,83,4.8,1,3,2009
-0.42,132.93,10,4.6,1,3,2009
-6.79,105.11,10,3.6,1,3,2009
-0.56,132.85,15,7.9,1,3,2009
-1.38,132.18,117,5.9,1,3,2009
-0.39,133.47,10,5.6,1,3,2009
-0.25,133.77,178,6.2,1,3,2009
-9.18,129.35,355,5.9,1,3,2009
-8.32,119.59,140,5.6,1,3,2009
36.3,70.86,196,6.3,1,3,2009
-0.45,104.59,517,5.6,1,3,2009
1.37,134.44,10,5.4,1,3,2009
-0.92,132.51,64,5.6,1,3,2009
0.28,133.1,10,4.9,1,3,2009
-1.19,129.85,10,5.7,1,3,2009
-26.3,-64.24,10,6.1,1,3,2009
0.47,133.23,98,5.2,1,3,2009
1.7,135.06,10,5.6,1,3,2009
-0.72,131.43,32,4.8,1,3,2009
1.36,111.08,10,6.0,1,3,2009
