LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
27.3,143.27,36,4.7,1,1,2011
-7.53,120.41,513,3.9,1,1,2011
2.32,128.25,46,4.8,1,1,2011
0.9,122.48,70,4.1,1,1,2011
39.39,75.36,60,5.2,1,1,2011
-6.97,107.37,32,3.3,1,1,2011
-6,117.84,10,3.5,1,1,2011
-3.64,128.48,10,2.7,1,1,2011
-7,105.41,10,3.6,1,1,2011
-3.24,100.19,12,3.6,1,1,2011
2.93,98.53,112,3.3,1,1,2011
-25.95,-63.69,10,7.3,1,1,2011
-2.83,103.88,31,3.5,1,1,2011
-9.57,121.81,12,3.2,1,1,2011
14.59,92.82,50,4.5,1,1,2011
2.71,129.14,53,4.9,1,1,2011
24.6,97.9,10,5.1,1,1,2011
-19.43,167.18,142,5.0,1,1,2011
-3.13,128.66,10,2.8,1,2,2011
36.24,68.93,47,5.2,1,2,2011
36.19,68.91,44,5.0,1,2,2011
26.8,143.28,24,4.2,1,2,2011
-0.69,127.46,10,3.6,1,2,2011
1.97,96.7,10,3.3,1,2,2011
-0.79,122.24,10,3.2,1,2,2011
13.49,122.85,606,5.3,1,2,2011
-8.4,109.64,62,4.2,1,2,2011
-8.99,110.41,55,3.4,1,2,2011
-4.56,101.26,46,5.6,1,2,2011
-2.96,101.04,47,4.7,1,2,2011
-8.64,106.54,13,3.7,1,2,2011
1.13,127.58,14,4.2,1,2,2011
0.26,122.14,160,2.5,1,2,2011
-9.71,119.91,19,4.0,1,2,2011
-10.29,106.92,81,4.3,1,2,2011
-38.38,-72.88,13,7.1,1,2,2011
0.18,122.81,86,2.4,1,2,2011
-0.13,122.67,11,2.5,1,2,2011
2.43,126.93,22,4.6,1,3,2011
-0.3,122.92,27,3.1,1,3,2011
-4.98,102.81,53,3.4,1,3,2011
-2.33,121.45,39,4.5,1,3,2011
-10.21,118.99,33,3.8,1,3,2011
-4.36,133.54,98,4.4,1,3,2011
-7.19,103.87,19,4.1,1,3,2011
26.91,143.87,10,4.7,1,3,2011
-7.33,127.84,365,4.3,1,3,2011
-5.97,142.32,23,5.0,1,3,2011
36.77,69.56,10,5.1,1,3,2011
-0.11,127.31,107,2.9,1,3,2011
0.49,125.91,12,3.8,1,3,2011
-10.42,113.29,13,5.0,1,3,2011
-10.2,113.85,10,4.9,1,4,2011
-0.64,99.03,10,3.7,1,4,2011
-2.44,140.26,17,4.9,1,4,2011
-52.09,139.56,10,5.0,1,4,2011
4.49,125.71,76,4.5,1,4,2011
-3.53,131.51,64,4.5,1,4,2011
-2.81,127.97,32,4.2,1,4,2011
-6.11,117.83,100,3.7,1,4,2011
0.21,120.81,73,4.0,1,4,2011
-2.93,119.74,29,2.9,1,4,2011
-0.19,98.84,10,4.5,1,4,2011
-4.78,130.52,40,4.0,1,4,2011
-4.7,152.37,209,4.9,1,4,2011
27.12,65.84,17,4.5,1,4,2011
31.53,142.24,42,5.6,1,5,2011
-7.3,125.16,527,4.4,1,5,2011
-0.97,119.69,19,3.4,1,5,2011
30.1,51.62,10,5.6,1,5,2011
